扭矩,料温,压力,转速,时间,温度1,温度2,温度3,温度4,温度5,温度6,温度7,温度8,顶栓,能量
1.6,180.6,6.19,0.0,0,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.2,0.00
1.6,180.6,6.19,4.6,1,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.2,0.00
1.5,180.6,6.19,13.8,2,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,180.6,6.19,23.6,3,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.4,180.6,6.19,33.6,4,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,180.6,6.19,43.6,5,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,180.6,6.19,49.0,6,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,180.6,6.19,49.8,7,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.5,180.6,6.19,50.0,8,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.5,180.6,6.19,50.0,9,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.5,180.6,6.19,50.0,10,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.5,180.6,6.19,49.8,11,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.5,180.5,6.19,49.8,12,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.5,180.5,6.19,49.8,13,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.5,180.5,6.19,49.8,14,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.5,180.5,6.19,49.8,15,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.5,180.5,6.19,50.0,16,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.5,180.5,6.19,50.0,17,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.5,180.5,6.19,49.8,18,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.5,180.5,6.19,49.8,19,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.5,180.5,6.19,49.8,20,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.5,180.6,6.19,49.8,21,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.5,180.6,6.19,49.8,22,180.0,180.0,180.1,500.0,500.0,0.0,0.0,0.0,0.3,0.02
