扭矩,料温,压力,转速,时间,温度1,温度2,温度3,温度4,温度5,温度6,温度7,温度8,顶栓,能量
1.9,190.1,6.19,0.2,0,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.8,190.1,6.19,1.8,1,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.7,190.1,6.19,8.8,2,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.6,190.1,6.19,18.8,3,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.6,190.1,6.19,28.8,4,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,190.1,6.19,38.6,5,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.6,190.1,6.19,47.0,6,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.6,190.1,6.19,49.8,7,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.6,190.1,6.19,49.8,8,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.6,190.1,6.19,49.8,9,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.6,190.1,6.19,49.8,10,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.6,190.1,6.19,49.8,11,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.6,190.1,6.19,50.0,12,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.5,189.7,6.19,50.0,13,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.5,189.2,6.19,50.0,14,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.4,188.3,6.19,50.0,15,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.4,187.5,6.19,50.0,16,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.4,186.7,6.19,50.0,17,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.4,186.1,6.19,50.0,18,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.4,185.5,6.19,50.0,19,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.3,185.0,6.19,50.0,20,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.3,184.5,6.19,49.8,21,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.3,184.2,6.19,49.8,22,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.2,183.8,6.19,49.8,23,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.2,183.5,6.19,49.8,24,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.1,183.1,6.19,49.8,25,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.1,182.9,6.19,50.0,26,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.1,182.6,6.19,49.8,27,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.1,182.4,6.19,49.8,28,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.0,182.3,6.19,49.6,29,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.0,182.0,6.19,49.6,30,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
0.9,181.8,6.19,49.4,31,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
0.9,181.6,6.19,49.6,32,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
0.8,181.5,6.19,49.6,33,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
0.7,181.4,6.19,49.6,34,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
0.7,181.2,6.19,49.6,35,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
0.7,180.9,6.19,49.8,36,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
0.5,180.5,6.19,49.8,37,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
0.4,180.3,6.19,49.8,38,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.4,180.1,6.19,49.8,39,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.3,179.8,6.19,49.6,40,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.3,179.4,6.19,49.6,41,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.4,179.1,6.19,49.6,42,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.6,178.9,6.19,49.6,43,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.8,178.7,6.19,49.8,44,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.0,178.8,6.19,49.8,45,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.2,179.0,6.19,49.8,46,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
