扭矩,料温,压力,转速,时间,温度1,温度2,温度3,温度4,温度5,温度6,温度7,温度8,顶栓,能量
2.0,185.6,6.19,0.0,0,190.0,190.2,188.3,500.0,500.0,0.0,0.0,0.0,0.2,0.00
2.0,185.6,6.19,4.0,1,190.0,190.1,188.3,500.0,500.0,0.0,0.0,0.0,0.2,0.00
1.9,185.7,6.19,12.8,2,190.0,190.0,188.4,500.0,500.0,0.0,0.0,0.0,0.2,0.00
1.9,185.7,6.19,22.8,3,190.0,190.0,188.6,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.9,185.7,6.19,32.8,4,190.0,190.0,188.6,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.8,185.7,6.19,42.8,5,190.0,190.0,188.7,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.8,185.8,6.19,48.8,6,190.0,189.9,188.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.8,185.8,6.19,50.0,7,190.0,189.7,188.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.8,185.8,6.19,50.0,8,190.0,189.5,188.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.8,185.9,6.19,50.0,9,190.0,189.4,189.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.8,185.9,6.19,49.8,10,190.0,189.3,189.2,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.9,185.9,6.19,49.6,11,190.0,189.1,189.2,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.8,186.0,6.19,49.6,12,190.0,189.1,189.2,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.9,186.0,6.19,49.8,13,190.0,189.1,189.3,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.8,186.0,6.19,49.8,14,190.0,189.1,189.5,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.8,186.1,6.19,50.0,15,190.0,189.0,189.5,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.8,186.1,6.19,50.2,16,190.0,188.9,189.5,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.8,186.1,6.19,50.2,17,190.0,188.9,189.6,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.8,186.2,6.19,50.0,18,190.0,188.9,189.7,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.8,186.2,6.19,50.0,19,190.0,188.9,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.8,186.2,6.19,50.0,20,190.0,188.9,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.8,186.3,6.19,50.0,21,190.0,188.9,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.8,186.3,6.19,49.8,22,190.0,189.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.8,186.4,6.19,49.8,23,190.0,189.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.8,186.4,6.19,49.8,24,190.0,189.2,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.8,186.4,6.19,49.8,25,190.0,189.2,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.8,186.5,6.19,49.8,26,190.0,189.2,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.8,186.5,6.19,50.0,27,190.0,189.4,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.8,186.5,6.19,50.0,28,190.0,189.6,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.8,186.6,6.19,50.0,29,190.0,189.6,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.8,186.6,6.19,50.0,30,190.0,189.6,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.8,186.6,6.19,50.0,31,190.0,189.7,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.8,186.6,6.19,50.0,32,190.0,189.9,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.8,186.6,6.19,49.8,33,190.0,189.9,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.05
1.7,186.5,6.19,49.8,34,190.0,189.9,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.05
1.7,186.4,6.19,49.8,35,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.05
1.6,186.1,6.19,49.8,36,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.05
1.5,185.7,6.19,49.8,37,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.05
1.4,185.2,6.19,50.0,38,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.05
1.4,184.6,6.19,50.0,39,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.05
1.3,184.0,6.19,49.8,40,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.05
1.3,183.5,6.19,49.6,41,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.06
1.3,183.0,6.19,49.6,42,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.06
1.3,182.6,6.19,49.6,43,190.0,189.9,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.06
1.2,182.1,6.19,49.6,44,190.0,189.7,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.06
