扭矩,料温,压力,转速,时间,温度1,温度2,温度3,温度4,温度5,温度6,温度7,温度8,顶栓,能量
1.7,178.4,6.19,2.2,0,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.2,0.00
1.6,178.4,6.19,9.8,1,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.2,0.00
1.5,178.4,6.19,19.8,2,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,178.4,6.19,29.8,3,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,178.4,6.19,39.8,4,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,178.4,6.19,47.6,5,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,178.4,6.19,50.0,6,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,178.1,6.19,49.8,7,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.4,177.7,6.19,49.8,8,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.4,177.1,6.19,49.8,9,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.4,176.6,6.19,49.8,10,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,176.1,6.19,49.8,11,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,175.7,6.19,50.0,12,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.2,175.2,6.19,50.0,13,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.1,174.9,6.19,50.0,14,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.0,174.6,6.19,50.0,15,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.0,174.3,6.19,50.0,16,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.8,174.0,6.19,50.0,17,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.7,173.7,6.19,50.0,18,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.7,173.3,6.19,49.8,19,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.6,172.9,6.19,49.8,20,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.5,172.5,6.19,49.6,21,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.5,172.2,6.19,49.4,22,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.5,171.9,6.19,49.4,23,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.5,171.4,6.19,49.6,24,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.4,171.1,6.19,49.6,25,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.5,170.8,6.19,49.8,26,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.5,170.6,6.19,50.0,27,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.6,170.3,6.19,50.0,28,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.8,170.1,6.19,49.8,29,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.9,169.8,6.19,49.8,30,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.0,169.5,6.19,49.6,31,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.1,169.2,6.19,49.4,32,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.1,168.9,6.19,49.4,33,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.1,168.5,6.19,49.6,34,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.2,168.3,6.19,49.6,35,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.2,168.0,6.19,49.8,36,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.2,167.9,6.19,50.0,37,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.3,167.7,6.19,50.0,38,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.3,167.7,6.19,49.8,39,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.3,167.6,6.19,49.8,40,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.3,167.5,6.19,49.8,41,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.3,167.5,6.19,49.6,42,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.3,167.4,6.19,49.6,43,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.3,167.5,6.19,49.8,44,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.3,167.5,6.19,49.8,45,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.3,167.6,6.19,49.8,46,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.4,167.7,6.19,50.0,47,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.3,167.8,6.19,50.0,48,180.0,180.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
