扭矩,料温,压力,转速,时间,温度1,温度2,温度3,温度4,温度5,温度6,温度7,温度8,顶栓,能量
1.8,190.5,6.19,1.6,0,190.0,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.8,190.5,6.19,8.4,1,190.0,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.7,190.5,6.19,18.2,2,190.0,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.6,190.4,6.19,28.2,3,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.6,190.4,6.19,38.2,4,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,190.2,6.19,46.6,5,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.4,189.8,6.19,49.8,6,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.3,189.0,6.19,49.8,7,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.2,188.2,6.19,49.8,8,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.2,187.3,6.19,49.8,9,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.1,186.5,6.19,49.8,10,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.1,185.8,6.19,49.8,11,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.0,185.1,6.19,50.0,12,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.0,184.5,6.19,49.8,13,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.9,183.9,6.19,49.8,14,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.8,183.4,6.19,49.8,15,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.8,183.0,6.19,49.8,16,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.8,182.6,6.19,49.6,17,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.7,182.4,6.19,49.8,18,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
