扭矩,料温,压力,转速,时间,温度1,温度2,温度3,温度4,温度5,温度6,温度7,温度8,顶栓,能量
1.8,188.3,6.21,1.4,0,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.8,188.3,6.20,7.0,1,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.7,188.3,6.20,13.0,2,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.7,188.3,6.21,19.0,3,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,188.2,6.21,24.8,4,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.2,187.7,6.20,29.4,5,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.9,187.0,6.21,29.8,6,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.6,185.9,6.21,29.8,7,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.3,184.8,6.21,29.8,8,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.1,183.8,6.21,29.8,9,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.2,182.9,6.21,29.8,10,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.4,182.1,6.21,29.8,11,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.8,181.2,6.21,29.8,12,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.9,180.3,6.21,29.6,13,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
5.6,179.2,6.21,29.8,14,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
11.5,177.8,6.21,29.8,15,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
21.6,176.7,6.21,29.6,16,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
31.8,175.1,6.21,29.6,17,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
43.7,173.4,6.21,29.6,18,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.06
51.3,170.8,6.21,29.6,19,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.09
57.2,168.7,6.21,29.6,20,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.11
58.3,166.5,6.21,29.6,21,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.14
60.3,164.8,6.21,29.6,22,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.17
56.7,163.2,6.21,29.8,23,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.20
54.6,161.9,6.21,29.6,24,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.23
49.8,161.0,6.21,29.6,25,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.25
46.0,160.1,6.22,29.8,26,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.28
41.0,159.5,6.22,29.8,27,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.30
38.6,159.1,6.22,29.6,28,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.32
35.8,158.8,6.22,29.8,29,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.33
35.4,158.8,6.22,29.8,30,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.35
32.7,158.8,6.22,29.8,31,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.37
31.3,158.9,6.22,29.6,32,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.38
30.1,159.0,6.22,29.8,33,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.40
29.7,159.2,6.22,29.6,34,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.41
27.5,159.3,6.22,29.6,35,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.43
27.7,159.3,6.22,29.6,36,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.44
26.6,159.5,6.22,29.8,37,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.45
25.6,159.9,6.22,29.6,38,189.8,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.46
24.5,160.4,6.21,29.8,39,189.8,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.48
24.2,160.7,6.22,29.8,40,189.8,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.49
23.6,160.9,6.22,29.8,41,189.8,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.50
