扭矩,料温,压力,转速,时间,温度1,温度2,温度3,温度4,温度5,温度6,温度7,温度8,顶栓,能量
1.9,190.4,6.19,0.4,0,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.8,190.4,6.19,3.0,1,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.8,190.4,6.19,11.0,2,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.7,190.3,6.19,20.0,3,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,190.0,6.19,29.0,4,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.4,189.4,6.19,37.6,5,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.3,188.8,6.19,44.0,6,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.3,188.1,6.19,45.2,7,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.2,187.7,6.19,45.2,8,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.2,187.4,6.19,45.2,9,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.1,187.2,6.19,45.0,10,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.0,186.7,6.19,45.0,11,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.9,186.2,6.19,45.0,12,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.8,185.7,6.19,44.8,13,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.7,185.2,6.19,44.8,14,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.6,184.7,6.19,45.0,15,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.4,184.2,6.19,44.8,16,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.3,183.5,6.19,44.6,17,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.4,182.9,6.19,44.8,18,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.4,182.3,6.19,45.0,19,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.5,181.7,6.19,45.0,20,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.6,181.1,6.19,45.0,21,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.9,180.4,6.19,45.0,22,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.9,179.8,6.19,44.8,23,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.0,179.4,6.19,44.8,24,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.2,179.0,6.19,44.8,25,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.3,178.7,6.19,45.0,26,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.1,178.4,6.19,45.0,27,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.3,178.2,6.19,45.2,28,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.3,178.0,6.19,45.0,29,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.3,178.0,6.19,44.8,30,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.3,177.9,6.19,44.8,31,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.4,177.9,6.19,44.8,32,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.4,177.9,6.19,44.8,33,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
