扭矩,料温,压力,转速,时间,温度1,温度2,温度3,温度4,温度5,温度6,温度7,温度8,顶栓,能量
1.8,190.9,6.19,0.2,0,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.8,190.9,6.19,4.4,1,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.7,190.9,6.19,12.2,2,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.6,190.9,6.19,20.2,3,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,190.8,6.19,28.2,4,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,190.6,6.19,36.0,5,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.4,189.6,6.19,39.6,6,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.4,188.2,6.19,40.0,7,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.4,186.4,6.19,40.0,8,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.5,185.1,6.19,39.8,9,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.5,183.9,6.19,39.8,10,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.4,183.1,6.19,39.8,11,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.4,182.3,6.19,39.6,12,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,181.7,6.19,39.6,13,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
2.4,181.2,6.19,39.6,14,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
7.2,180.3,6.19,39.6,15,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
17.6,178.6,6.19,39.8,16,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
26.8,176.1,6.19,39.6,17,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.05
36.1,172.7,6.19,39.6,18,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.07
