扭矩,料温,压力,转速,时间,温度1,温度2,温度3,温度4,温度5,温度6,温度7,温度8,顶栓,能量
1.4,189.5,6.19,0.6,0,190.0,189.9,190.3,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.3,189.5,6.19,6.4,1,190.0,190.0,190.3,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.2,189.5,6.19,14.2,2,190.0,190.0,190.3,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.1,189.2,6.19,22.2,3,190.0,190.0,190.3,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.0,187.4,6.19,30.2,4,190.0,190.0,190.2,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.9,185.1,6.19,37.6,5,190.0,190.0,190.2,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.9,182.6,6.19,39.8,6,190.0,190.0,190.2,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.9,181.2,6.19,40.0,7,190.0,190.0,190.2,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.9,180.2,6.19,39.8,8,190.0,190.0,190.2,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.1,179.4,6.19,39.8,9,190.0,190.0,190.2,500.0,500.0,0.0,0.0,0.0,0.3,0.00
2.9,178.6,6.19,39.8,10,190.0,190.0,190.1,500.0,500.0,0.0,0.0,0.0,0.3,0.01
11.7,177.6,6.19,39.6,11,190.0,190.0,190.1,500.0,500.0,0.0,0.0,0.0,0.3,0.01
19.3,175.8,6.19,39.6,12,190.0,190.0,190.1,500.0,500.0,0.0,0.0,0.0,0.3,0.03
27.4,173.4,6.20,39.8,13,190.0,190.0,190.1,500.0,500.0,0.0,0.0,0.0,0.3,0.05
35.6,170.3,6.20,39.6,14,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.07
43.0,167.3,6.20,39.6,15,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.10
42.4,164.8,6.20,39.8,16,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.13
43.9,162.8,6.20,39.8,17,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.15
43.8,161.5,6.20,39.6,18,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.18
42.6,160.5,6.20,39.8,19,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.21
41.5,159.8,6.20,39.8,20,190.0,190.2,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.24
39.7,159.3,6.20,39.8,21,190.0,190.2,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.27
38.7,159.1,6.20,39.8,22,190.0,190.2,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.29
36.6,159.1,6.20,39.8,23,189.9,190.2,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.32
36.1,159.2,6.20,39.8,24,189.7,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.34
33.5,159.3,6.20,39.8,25,189.6,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.36
33.6,159.3,6.20,39.8,26,189.6,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.38
30.5,159.3,6.20,39.8,27,189.6,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.40
30.6,159.4,6.20,40.0,28,189.6,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.42
29.4,159.5,6.20,39.8,29,189.4,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.44
29.6,159.7,6.20,39.8,30,189.4,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.46
28.1,159.8,6.20,39.8,31,189.2,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.48
28.1,159.9,6.20,39.8,32,189.2,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.50
26.7,160.2,6.20,39.6,33,189.2,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.52
25.9,160.5,6.20,39.8,34,189.2,190.0,189.7,500.0,500.0,0.0,0.0,0.0,0.3,0.54
24.7,160.9,6.20,39.8,35,189.0,190.0,189.7,500.0,500.0,0.0,0.0,0.0,0.3,0.55
23.8,161.4,6.20,39.8,36,188.9,190.0,189.7,500.0,500.0,0.0,0.0,0.0,0.3,0.57
23.3,162.1,6.20,39.8,37,188.9,190.0,189.5,500.0,500.0,0.0,0.0,0.0,0.3,0.58
22.7,162.7,6.20,40.0,38,188.9,190.0,189.4,500.0,500.0,0.0,0.0,0.0,0.3,0.60
21.9,163.3,6.20,39.8,39,188.8,189.8,189.4,500.0,500.0,0.0,0.0,0.0,0.3,0.61
21.1,163.7,6.20,39.8,40,188.7,189.6,189.4,500.0,500.0,0.0,0.0,0.0,0.3,0.63
20.4,164.2,6.20,39.8,41,188.7,189.5,189.3,500.0,500.0,0.0,0.0,0.0,0.3,0.64
19.4,164.7,6.20,39.8,42,188.7,189.5,189.2,500.0,500.0,0.0,0.0,0.0,0.3,0.65
18.8,165.2,6.20,39.8,43,188.7,189.5,189.2,500.0,500.0,0.0,0.0,0.0,0.3,0.67
18.1,165.7,6.20,40.0,44,188.6,189.4,189.2,500.0,500.0,0.0,0.0,0.0,0.3,0.68
17.8,166.2,6.20,39.8,45,188.6,189.3,189.1,500.0,500.0,0.0,0.0,0.0,0.3,0.69
17.4,166.5,6.20,39.8,46,188.6,189.3,189.0,500.0,500.0,0.0,0.0,0.0,0.3,0.70
17.1,166.9,6.20,39.8,47,188.6,189.4,189.0,500.0,500.0,0.0,0.0,0.0,0.3,0.71
16.7,167.4,6.20,39.8,48,188.6,189.4,189.0,500.0,500.0,0.0,0.0,0.0,0.3,0.72
16.5,167.8,6.20,39.8,49,188.6,189.4,189.0,500.0,500.0,0.0,0.0,0.0,0.3,0.73
16.2,168.3,6.20,40.0,50,188.6,189.4,189.0,500.0,500.0,0.0,0.0,0.0,0.3,0.75
16.1,168.7,6.20,40.0,51,188.6,189.4,188.9,500.0,500.0,0.0,0.0,0.0,0.3,0.76
15.7,169.1,6.20,40.0,52,188.6,189.4,188.9,500.0,500.0,0.0,0.0,0.0,0.3,0.77
15.4,169.5,6.20,40.0,53,188.6,189.5,188.9,500.0,500.0,0.0,0.0,0.0,0.3,0.78
15.2,170.0,6.20,40.0,54,188.6,189.8,188.9,500.0,500.0,0.0,0.0,0.0,0.3,0.79
14.9,170.4,6.20,40.0,55,188.7,189.9,188.9,500.0,500.0,0.0,0.0,0.0,0.3,0.80
