扭矩,料温,压力,转速,时间,温度1,温度2,温度3,温度4,温度5,温度6,温度7,温度8,顶栓,能量
1.6,189.0,6.20,0.0,0,190.2,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.2,0.00
1.5,189.0,6.20,2.4,1,190.2,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.2,0.00
1.5,189.1,6.20,9.2,2,190.2,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.2,0.00
1.4,189.1,6.20,16.0,3,190.2,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.3,189.1,6.20,23.0,4,190.2,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.1,188.7,6.20,30.0,5,190.2,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.0,188.2,6.20,34.6,6,190.2,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.8,187.4,6.20,35.0,7,190.2,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.7,186.7,6.20,35.0,8,190.2,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.7,186.1,6.20,35.0,9,190.2,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.6,185.4,6.20,35.0,10,190.2,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.5,184.8,6.20,35.0,11,190.2,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.5,184.3,6.20,34.8,12,190.2,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.3,183.8,6.20,34.8,13,190.1,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.2,183.3,6.20,34.8,14,190.1,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.2,182.7,6.20,34.8,15,190.1,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
0.3,182.0,6.20,34.6,16,190.1,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.5,181.1,6.20,34.8,17,190.1,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.7,180.0,6.20,35.0,18,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.9,179.1,6.20,35.0,19,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.1,178.4,6.20,35.0,20,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.2,177.8,6.20,35.2,21,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.2,177.4,6.20,35.2,22,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.2,177.1,6.20,35.2,23,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,177.0,6.20,35.2,24,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,176.8,6.20,35.0,25,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,176.6,6.20,35.2,26,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,176.4,6.20,35.0,27,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,176.3,6.20,34.8,28,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,176.3,6.19,34.8,29,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,176.2,6.19,34.8,30,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,176.2,6.19,34.6,31,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.3,176.1,6.19,34.6,32,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.4,176.1,6.19,34.8,33,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.6,176.1,6.20,34.8,34,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
5.8,176.1,6.20,34.8,35,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
10.7,175.7,6.20,34.8,36,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
18.7,174.3,6.20,34.8,37,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
27.0,172.0,6.20,34.8,38,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.05
