扭矩,料温,压力,转速,时间,温度1,温度2,温度3,温度4,温度5,温度6,温度7,温度8,顶栓,能量
1.7,177.1,6.18,0.0,0,179.7,180.0,179.5,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.7,177.2,6.18,2.0,1,179.7,180.0,179.5,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.6,177.2,6.18,10.2,2,179.7,180.0,179.6,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,177.2,6.18,20.2,3,179.7,180.0,179.6,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.4,177.3,6.18,30.2,4,179.8,180.0,179.6,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.3,177.3,6.18,40.2,5,179.8,180.0,179.6,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.3,177.3,6.18,48.2,6,179.8,180.0,179.6,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.3,177.3,6.18,49.8,7,179.8,180.0,179.6,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.3,177.3,6.18,49.8,8,179.8,180.0,179.7,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,177.3,6.19,49.8,9,179.9,180.0,179.8,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,177.3,6.19,49.8,10,179.9,180.0,179.8,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,177.3,6.18,49.8,11,179.9,180.0,179.8,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,177.4,6.19,50.0,12,179.9,180.0,179.8,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,177.4,6.19,50.0,13,179.9,180.0,179.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,177.4,6.19,50.0,14,179.9,180.1,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,177.5,6.19,50.0,15,179.9,180.3,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,177.4,6.19,50.0,16,180.0,180.4,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,177.1,6.18,50.0,17,180.0,180.4,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.3,176.6,6.18,49.8,18,180.0,180.4,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.3,176.0,6.18,49.8,19,180.0,180.6,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.2,175.4,6.18,49.8,20,180.0,180.8,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.1,174.8,6.18,49.8,21,180.0,180.8,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.1,174.2,6.19,49.8,22,180.0,180.8,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.0,173.7,6.19,50.0,23,180.0,180.9,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.0,173.3,6.19,50.0,24,180.0,181.0,180.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
