扭矩,料温,压力,转速,时间,温度1,温度2,温度3,温度4,温度5,温度6,温度7,温度8,顶栓,能量
1.9,199.3,6.20,0.0,0,200.9,200.5,200.8,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.9,199.3,6.20,3.6,1,200.9,200.3,200.9,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.8,199.4,6.20,12.6,2,200.9,200.1,200.9,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.8,199.4,6.20,22.6,3,200.9,200.1,200.9,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.8,199.4,6.20,32.6,4,200.9,200.1,200.9,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.7,199.4,6.20,42.6,5,200.9,200.1,200.9,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.8,199.4,6.20,49.0,6,200.9,200.0,200.9,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.7,199.4,6.20,50.0,7,200.9,200.0,200.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.7,199.4,6.20,50.0,8,200.9,200.0,200.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.6,199.2,6.20,50.0,9,200.9,200.0,200.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.6,198.9,6.20,49.8,10,200.9,200.0,200.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.6,198.5,6.20,49.8,11,200.9,200.0,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.5,197.9,6.20,49.8,12,200.9,200.0,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.5,197.3,6.20,49.6,13,200.9,200.0,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.4,196.6,6.20,49.6,14,200.9,200.0,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.3,196.0,6.20,49.8,15,200.9,200.0,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.2,195.5,6.20,49.8,16,200.9,200.0,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.1,195.2,6.20,50.0,17,200.9,200.0,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.0,194.8,6.20,50.0,18,200.9,199.9,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.8,194.1,6.20,50.0,19,200.9,199.9,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.6,193.3,6.20,50.0,20,200.9,199.9,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.4,192.4,6.20,50.0,21,200.9,199.9,201.1,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.3,191.6,6.20,49.6,22,200.9,200.0,201.1,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.2,190.8,6.21,49.8,23,200.9,200.0,201.1,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.3,190.0,6.21,49.6,24,200.8,200.0,201.1,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.6,189.4,6.21,49.6,25,200.8,200.0,201.1,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.9,188.5,6.21,49.6,26,200.8,200.0,201.1,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.2,187.5,6.21,49.6,27,200.8,200.0,201.1,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.7,186.6,6.21,49.6,28,200.8,200.0,201.1,500.0,500.0,0.0,0.0,0.0,0.3,0.02
2.0,185.8,6.21,49.8,29,200.8,200.0,201.1,500.0,500.0,0.0,0.0,0.0,0.3,0.03
2.6,185.0,6.21,49.8,30,200.7,200.2,201.1,500.0,500.0,0.0,0.0,0.0,0.3,0.03
3.1,184.3,6.21,49.8,31,200.7,200.3,201.1,500.0,500.0,0.0,0.0,0.0,0.3,0.03
3.3,183.7,6.21,50.0,32,200.7,200.4,201.1,500.0,500.0,0.0,0.0,0.0,0.3,0.03
3.2,183.3,6.20,50.0,33,200.7,200.6,201.1,500.0,500.0,0.0,0.0,0.0,0.3,0.04
2.9,182.7,6.20,49.8,34,200.7,200.7,201.1,500.0,500.0,0.0,0.0,0.0,0.3,0.04
2.4,182.3,6.20,49.8,35,200.7,200.8,201.1,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.9,182.3,6.20,49.8,36,200.6,200.9,201.1,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.4,182.6,6.21,49.8,37,200.6,201.0,201.1,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.9,182.9,6.21,49.8,38,200.6,201.0,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.7,183.2,6.21,50.0,39,200.6,201.0,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.05
0.5,183.3,6.21,50.0,40,200.6,201.1,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.05
0.4,183.3,6.21,50.0,41,200.5,201.2,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.05
0.3,183.3,6.21,50.0,42,200.5,201.2,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.05
0.3,183.3,6.21,50.0,43,200.5,201.2,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.05
0.4,183.4,6.21,49.8,44,200.4,201.1,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.05
0.6,183.4,6.21,49.8,45,200.4,200.9,201.0,500.0,500.0,0.0,0.0,0.0,0.3,0.05
0.8,183.3,6.21,49.8,46,200.4,200.9,200.9,500.0,500.0,0.0,0.0,0.0,0.3,0.05
1.2,183.2,6.21,49.8,47,200.4,200.9,200.9,500.0,500.0,0.0,0.0,0.0,0.3,0.05
1.3,183.0,6.21,49.6,48,200.4,200.9,200.9,500.0,500.0,0.0,0.0,0.0,0.3,0.05
1.2,182.9,6.21,49.8,49,200.4,200.9,200.9,500.0,500.0,0.0,0.0,0.0,0.3,0.05
1.2,182.7,6.21,49.8,50,200.4,200.7,200.9,500.0,500.0,0.0,0.0,0.0,0.3,0.05
