   Time:sec   Load:kgf  Stroke:mm     Spare1     Spare2
   ====================================================
    0.06500      0.003    0.00224    0.00000    0.00000
    0.14500      0.009    0.00489    0.00000    0.00000
    0.22000      0.014    0.00737    0.00000    0.00000
    0.29000      0.017    0.00965    0.00000    0.00000
    0.36000      0.020    0.01198    0.00000    0.00000
    0.44000      0.025    0.01475    0.00000    0.00000
    0.51500      0.031    0.01715    0.00000    0.00000
    0.58000      0.038    0.01943    0.00000    0.00000
    0.65500      0.045    0.02187    0.00000    0.00000
    0.73500      0.053    0.02448    0.00000    0.00000
    0.81500      0.061    0.02721    0.00000    0.00000
    0.89000      0.068    0.02961    0.00000    0.00000
    0.95500      0.073    0.03194    0.00000    0.00000
    1.03000      0.079    0.03430    0.00000    0.00000
    1.10500      0.083    0.03682    0.00000    0.00000
    1.17000      0.085    0.03902    0.00000    0.00000
    1.26500      0.089    0.04212    0.00000    0.00000
    1.31000      0.092    0.04371    0.00000    0.00000
    1.40500      0.101    0.04688    0.00000    0.00000
    1.49000      0.109    0.04965    0.00000    0.00000
    1.54500      0.114    0.05161    0.00000    0.00000
    1.64000      0.123    0.05479    0.00000    0.00000
    1.69000      0.128    0.05634    0.00000    0.00000
    1.78000      0.135    0.05943    0.00000    0.00000
    1.87000      0.142    0.06228    0.00000    0.00000
    1.92500      0.144    0.06407    0.00000    0.00000
    2.03000      0.148    0.06762    0.00000    0.00000
    2.10000      0.151    0.07002    0.00000    0.00000
    2.17500      0.156    0.07255    0.00000    0.00000
    2.25000      0.162    0.07503    0.00000    0.00000
    2.33000      0.169    0.07764    0.00000    0.00000
    2.40500      0.176    0.08021    0.00000    0.00000
    2.47500      0.182    0.08257    0.00000    0.00000
    2.55000      0.188    0.08505    0.00000    0.00000
    2.63000      0.196    0.08762    0.00000    0.00000
    2.70500      0.201    0.09019    0.00000    0.00000
    2.78000      0.205    0.09275    0.00000    0.00000
    2.85500      0.208    0.09515    0.00000    0.00000
    2.93000      0.210    0.09764    0.00000    0.00000
    3.01000      0.214    0.10029    0.00000    0.00000
    3.08000      0.220    0.10269    0.00000    0.00000
    3.16000      0.226    0.10534    0.00000    0.00000
    3.23500      0.232    0.10790    0.00000    0.00000
    3.31000      0.238    0.11039    0.00000    0.00000
    3.38500      0.244    0.11291    0.00000    0.00000
    3.46000      0.250    0.11532    0.00000    0.00000
    3.53500      0.255    0.11780    0.00000    0.00000
    3.61000      0.259    0.12037    0.00000    0.00000
    3.68500      0.261    0.12285    0.00000    0.00000
    3.76000      0.264    0.12538    0.00000    0.00000
    3.83000      0.266    0.12782    0.00000    0.00000
    3.91500      0.271    0.13051    0.00000    0.00000
    3.98500      0.276    0.13292    0.00000    0.00000
    4.06000      0.282    0.13528    0.00000    0.00000
    4.14000      0.288    0.13793    0.00000    0.00000
    4.20500      0.293    0.14025    0.00000    0.00000
    4.29000      0.299    0.14298    0.00000    0.00000
    4.36500      0.304    0.14550    0.00000    0.00000
    4.43500      0.309    0.14795    0.00000    0.00000
    4.51500      0.312    0.15055    0.00000    0.00000
    4.58000      0.314    0.15279    0.00000    0.00000
    4.66000      0.317    0.15536    0.00000    0.00000
    4.73500      0.319    0.15776    0.00000    0.00000
    4.80500      0.322    0.16029    0.00000    0.00000
    4.88500      0.327    0.16285    0.00000    0.00000
    4.95500      0.332    0.16522    0.00000    0.00000
    5.03500      0.338    0.16782    0.00000    0.00000
    5.10000      0.343    0.17015    0.00000    0.00000
    5.18000      0.348    0.17271    0.00000    0.00000
    5.25500      0.353    0.17512    0.00000    0.00000
    5.33000      0.359    0.17764    0.00000    0.00000
    5.41000      0.363    0.18041    0.00000    0.00000
    5.49000      0.366    0.18298    0.00000    0.00000
    5.56000      0.368    0.18538    0.00000    0.00000
    5.64000      0.371    0.18807    0.00000    0.00000
    5.71500      0.374    0.19047    0.00000    0.00000
    5.79000      0.379    0.19304    0.00000    0.00000
    5.86500      0.384    0.19556    0.00000    0.00000
    5.94000      0.389    0.19797    0.00000    0.00000
    6.01500      0.394    0.20061    0.00000    0.00000
    6.09500      0.399    0.20322    0.00000    0.00000
    6.16500      0.405    0.20563    0.00000    0.00000
    6.24000      0.409    0.20811    0.00000    0.00000
    6.32000      0.413    0.21064    0.00000    0.00000
    6.39500      0.415    0.21316    0.00000    0.00000
    6.47000      0.418    0.21573    0.00000    0.00000
    6.54500      0.420    0.21817    0.00000    0.00000
    6.62000      0.422    0.22066    0.00000    0.00000
    6.70000      0.426    0.22330    0.00000    0.00000
    6.77000      0.431    0.22571    0.00000    0.00000
    6.84500      0.436    0.22823    0.00000    0.00000
    6.92500      0.441    0.23076    0.00000    0.00000
    6.99500      0.445    0.23316    0.00000    0.00000
    7.07500      0.450    0.23589    0.00000    0.00000
    7.14500      0.454    0.23829    0.00000    0.00000
    7.22500      0.458    0.24082    0.00000    0.00000
    7.30500      0.461    0.24347    0.00000    0.00000
    7.37000      0.463    0.24579    0.00000    0.00000
    7.45000      0.465    0.24836    0.00000    0.00000
    7.52500      0.467    0.25076    0.00000    0.00000
    7.60000      0.469    0.25332    0.00000    0.00000
    7.68000      0.474    0.25597    0.00000    0.00000
    7.75000      0.479    0.25829    0.00000    0.00000
    7.83000      0.484    0.26094    0.00000    0.00000
    7.90500      0.490    0.26347    0.00000    0.00000
    7.98000      0.494    0.26595    0.00000    0.00000
    8.06500      0.499    0.26876    0.00000    0.00000
    8.13500      0.504    0.27117    0.00000    0.00000
    8.20500      0.507    0.27357    0.00000    0.00000
    8.28500      0.510    0.27622    0.00000    0.00000
    8.36000      0.512    0.27870    0.00000    0.00000
    8.44000      0.514    0.28135    0.00000    0.00000
    8.51500      0.516    0.28375    0.00000    0.00000
    8.58000      0.518    0.28607    0.00000    0.00000
    8.66000      0.522    0.28872    0.00000    0.00000
    8.74000      0.527    0.29129    0.00000    0.00000
    8.81500      0.532    0.29390    0.00000    0.00000
    8.89000      0.536    0.29630    0.00000    0.00000
    8.96000      0.540    0.29866    0.00000    0.00000
    9.03500      0.545    0.30123    0.00000    0.00000
    9.11000      0.550    0.30371    0.00000    0.00000
    9.19000      0.554    0.30636    0.00000    0.00000
    9.27000      0.556    0.30901    0.00000    0.00000
    9.33500      0.558    0.31117    0.00000    0.00000
    9.41500      0.560    0.31377    0.00000    0.00000
    9.49000      0.563    0.31630    0.00000    0.00000
    9.56500      0.567    0.31895    0.00000    0.00000
    9.64500      0.572    0.32147    0.00000    0.00000
    9.71500      0.577    0.32371    0.00000    0.00000
    9.79000      0.582    0.32624    0.00000    0.00000
    9.86500      0.587    0.32885    0.00000    0.00000
    9.94500      0.592    0.33149    0.00000    0.00000
   10.02500      0.597    0.33414    0.00000    0.00000
   10.09500      0.601    0.33646    0.00000    0.00000
   10.16500      0.603    0.33887    0.00000    0.00000
   10.24000      0.605    0.34131    0.00000    0.00000
   10.32000      0.607    0.34404    0.00000    0.00000
   10.40000      0.609    0.34669    0.00000    0.00000
   10.47500      0.612    0.34913    0.00000    0.00000
   10.54000      0.616    0.35141    0.00000    0.00000
   10.61500      0.621    0.35398    0.00000    0.00000
   10.69500      0.625    0.35659    0.00000    0.00000
   10.77500      0.630    0.35919    0.00000    0.00000
   10.85500      0.635    0.36176    0.00000    0.00000
   10.91500      0.639    0.36392    0.00000    0.00000
   10.99500      0.644    0.36644    0.00000    0.00000
   11.07500      0.648    0.36913    0.00000    0.00000
   11.15500      0.650    0.37178    0.00000    0.00000
   11.23000      0.652    0.37435    0.00000    0.00000
   11.29500      0.654    0.37646    0.00000    0.00000
   11.37000      0.656    0.37899    0.00000    0.00000
   11.45000      0.659    0.38164    0.00000    0.00000
   11.53000      0.664    0.38433    0.00000    0.00000
   11.60500      0.668    0.38689    0.00000    0.00000
   11.67500      0.672    0.38917    0.00000    0.00000
   11.74500      0.676    0.39158    0.00000    0.00000
   11.86000      0.682    0.39532    0.00000    0.00000
   11.97500      0.688    0.39907    0.00000    0.00000
   12.08000      0.691    0.40261    0.00000    0.00000
   12.19500      0.693    0.40657    0.00000    0.00000
   12.31500      0.696    0.41048    0.00000    0.00000
   12.41500      0.699    0.41390    0.00000    0.00000
   12.53500      0.705    0.41785    0.00000    0.00000
   12.65500      0.711    0.42176    0.00000    0.00000
   12.76500      0.717    0.42551    0.00000    0.00000
   12.87000      0.723    0.42905    0.00000    0.00000
   12.98500      0.728    0.43288    0.00000    0.00000
   13.10500      0.731    0.43683    0.00000    0.00000
   13.21500      0.734    0.44046    0.00000    0.00000
   13.33000      0.736    0.44425    0.00000    0.00000
   13.44500      0.738    0.44820    0.00000    0.00000
   13.56000      0.744    0.45190    0.00000    0.00000
   13.66500      0.749    0.45549    0.00000    0.00000
   13.78000      0.755    0.45944    0.00000    0.00000
   13.90000      0.762    0.46339    0.00000    0.00000
   14.00500      0.767    0.46681    0.00000    0.00000
   14.12000      0.771    0.47060    0.00000    0.00000
   14.23500      0.774    0.47451    0.00000    0.00000
   14.35000      0.777    0.47834    0.00000    0.00000
   14.45500      0.779    0.48192    0.00000    0.00000
   14.57000      0.784    0.48575    0.00000    0.00000
   14.69000      0.791    0.48966    0.00000    0.00000
   14.80000      0.798    0.49333    0.00000    0.00000
