   Time:sec   Load:kgf  Stroke:mm     Spare1     Spare2
   ====================================================
    0.07500      0.001    0.00248    0.00000    0.00000
    0.15000      0.002    0.00497    0.00000    0.00000
    0.22500      0.004    0.00750    0.00000    0.00000
    0.29500      0.005    0.00978    0.00000    0.00000
    0.37500      0.007    0.01242    0.00000    0.00000
    0.44500      0.010    0.01487    0.00000    0.00000
    0.52000      0.014    0.01735    0.00000    0.00000
    0.58500      0.018    0.01959    0.00000    0.00000
    0.66500      0.023    0.02216    0.00000    0.00000
    0.75500      0.027    0.02509    0.00000    0.00000
    0.82000      0.031    0.02737    0.00000    0.00000
    0.89500      0.036    0.02982    0.00000    0.00000
    0.96500      0.040    0.03214    0.00000    0.00000
    1.03500      0.044    0.03458    0.00000    0.00000
    1.13000      0.046    0.03768    0.00000    0.00000
    1.17500      0.047    0.03927    0.00000    0.00000
    1.27000      0.049    0.04240    0.00000    0.00000
    1.33500      0.050    0.04440    0.00000    0.00000
    1.41500      0.051    0.04709    0.00000    0.00000
    1.50500      0.054    0.05018    0.00000    0.00000
    1.55500      0.055    0.05185    0.00000    0.00000
    1.65000      0.061    0.05499    0.00000    0.00000
    1.71500      0.064    0.05715    0.00000    0.00000
    1.79000      0.068    0.05972    0.00000    0.00000
    1.88000      0.073    0.06269    0.00000    0.00000
    1.93000      0.075    0.06432    0.00000    0.00000
    2.04000      0.080    0.06794    0.00000    0.00000
    2.11000      0.083    0.07043    0.00000    0.00000
    2.18500      0.085    0.07295    0.00000    0.00000
    2.26500      0.086    0.07548    0.00000    0.00000
    2.34000      0.087    0.07796    0.00000    0.00000
    2.41500      0.088    0.08049    0.00000    0.00000
    2.49000      0.090    0.08289    0.00000    0.00000
    2.56500      0.091    0.08542    0.00000    0.00000
    2.64500      0.094    0.08811    0.00000    0.00000
    2.71500      0.097    0.09051    0.00000    0.00000
    2.79000      0.101    0.09308    0.00000    0.00000
    2.87000      0.104    0.09564    0.00000    0.00000
    2.94500      0.107    0.09809    0.00000    0.00000
    3.02000      0.111    0.10061    0.00000    0.00000
    3.09000      0.114    0.10302    0.00000    0.00000
    3.17000      0.117    0.10558    0.00000    0.00000
    3.24500      0.119    0.10815    0.00000    0.00000
    3.32000      0.121    0.11067    0.00000    0.00000
    3.39500      0.122    0.11324    0.00000    0.00000
    3.46500      0.124    0.11560    0.00000    0.00000
    3.54500      0.125    0.11809    0.00000    0.00000
    3.62000      0.127    0.12061    0.00000    0.00000
    3.69500      0.128    0.12310    0.00000    0.00000
    3.77000      0.131    0.12566    0.00000    0.00000
    3.84000      0.134    0.12807    0.00000    0.00000
    3.92000      0.138    0.13063    0.00000    0.00000
    3.99500      0.141    0.13316    0.00000    0.00000
    4.07000      0.144    0.13556    0.00000    0.00000
    4.14500      0.147    0.13817    0.00000    0.00000
    4.22000      0.151    0.14070    0.00000    0.00000
    4.30000      0.154    0.14330    0.00000    0.00000
    4.37000      0.155    0.14571    0.00000    0.00000
    4.45000      0.157    0.14835    0.00000    0.00000
    4.52000      0.158    0.15072    0.00000    0.00000
    4.59500      0.159    0.15320    0.00000    0.00000
    4.67000      0.160    0.15560    0.00000    0.00000
    4.74500      0.162    0.15809    0.00000    0.00000
    4.82000      0.163    0.16061    0.00000    0.00000
    4.89500      0.166    0.16314    0.00000    0.00000
    4.97000      0.169    0.16575    0.00000    0.00000
    5.05000      0.173    0.16831    0.00000    0.00000
    5.12000      0.176    0.17063    0.00000    0.00000
    5.20000      0.180    0.17328    0.00000    0.00000
    5.27000      0.183    0.17565    0.00000    0.00000
    5.34500      0.186    0.17821    0.00000    0.00000
    5.42500      0.189    0.18078    0.00000    0.00000
    5.49500      0.191    0.18318    0.00000    0.00000
    5.57500      0.192    0.18583    0.00000    0.00000
    5.64500      0.193    0.18823    0.00000    0.00000
    5.72500      0.195    0.19080    0.00000    0.00000
    5.80500      0.196    0.19341    0.00000    0.00000
    5.87000      0.197    0.19569    0.00000    0.00000
    5.95000      0.199    0.19837    0.00000    0.00000
    6.02500      0.201    0.20078    0.00000    0.00000
    6.10000      0.204    0.20334    0.00000    0.00000
    6.18000      0.209    0.20603    0.00000    0.00000
    6.25000      0.212    0.20831    0.00000    0.00000
    6.33000      0.216    0.21092    0.00000    0.00000
    6.40500      0.220    0.21336    0.00000    0.00000
    6.47500      0.223    0.21585    0.00000    0.00000
    6.55500      0.225    0.21850    0.00000    0.00000
    6.63000      0.227    0.22090    0.00000    0.00000
    6.70500      0.228    0.22347    0.00000    0.00000
    6.78500      0.229    0.22611    0.00000    0.00000
    6.85500      0.231    0.22840    0.00000    0.00000
    6.93000      0.232    0.23104    0.00000    0.00000
    7.01000      0.234    0.23361    0.00000    0.00000
    7.08000      0.235    0.23601    0.00000    0.00000
    7.16000      0.238    0.23870    0.00000    0.00000
    7.23500      0.242    0.24115    0.00000    0.00000
    7.31000      0.245    0.24367    0.00000    0.00000
    7.39000      0.248    0.24628    0.00000    0.00000
    7.45500      0.251    0.24856    0.00000    0.00000
    7.53500      0.255    0.25117    0.00000    0.00000
    7.61500      0.258    0.25373    0.00000    0.00000
    7.68500      0.261    0.25609    0.00000    0.00000
    7.76500      0.262    0.25878    0.00000    0.00000
    7.83000      0.263    0.26110    0.00000    0.00000
    7.91000      0.265    0.26371    0.00000    0.00000
    7.99000      0.266    0.26632    0.00000    0.00000
    8.07000      0.268    0.26889    0.00000    0.00000
    8.15000      0.269    0.27161    0.00000    0.00000
    8.22000      0.271    0.27390    0.00000    0.00000
    8.29000      0.274    0.27638    0.00000    0.00000
    8.36500      0.278    0.27891    0.00000    0.00000
    8.44500      0.282    0.28151    0.00000    0.00000
    8.52500      0.285    0.28416    0.00000    0.00000
    8.59500      0.289    0.28636    0.00000    0.00000
    8.66500      0.292    0.28876    0.00000    0.00000
    8.74000      0.295    0.29137    0.00000    0.00000
    8.82000      0.298    0.29402    0.00000    0.00000
    8.90000      0.299    0.29667    0.00000    0.00000
    8.97500      0.300    0.29911    0.00000    0.00000
    9.04000      0.301    0.30135    0.00000    0.00000
    9.11500      0.303    0.30383    0.00000    0.00000
    9.19500      0.304    0.30644    0.00000    0.00000
    9.27500      0.305    0.30917    0.00000    0.00000
    9.35000      0.308    0.31162    0.00000    0.00000
    9.41500      0.310    0.31390    0.00000    0.00000
    9.49000      0.314    0.31646    0.00000    0.00000
    9.57000      0.317    0.31911    0.00000    0.00000
    9.65000      0.321    0.32168    0.00000    0.00000
    9.73000      0.325    0.32424    0.00000    0.00000
    9.79000      0.328    0.32640    0.00000    0.00000
    9.87000      0.331    0.32897    0.00000    0.00000
    9.95000      0.334    0.33162    0.00000    0.00000
   10.03000      0.335    0.33426    0.00000    0.00000
   10.10500      0.337    0.33679    0.00000    0.00000
   10.17000      0.338    0.33895    0.00000    0.00000
   10.24500      0.339    0.34147    0.00000    0.00000
   10.32500      0.340    0.34412    0.00000    0.00000
   10.40500      0.342    0.34677    0.00000    0.00000
   10.48000      0.345    0.34938    0.00000    0.00000
   10.55000      0.348    0.35162    0.00000    0.00000
   10.62000      0.351    0.35406    0.00000    0.00000
   10.70000      0.355    0.35671    0.00000    0.00000
   10.78000      0.358    0.35931    0.00000    0.00000
   10.85500      0.361    0.36184    0.00000    0.00000
   10.93000      0.364    0.36424    0.00000    0.00000
   11.00000      0.367    0.36657    0.00000    0.00000
   11.08000      0.368    0.36929    0.00000    0.00000
   11.15500      0.370    0.37190    0.00000    0.00000
   11.23500      0.371    0.37447    0.00000    0.00000
   11.31000      0.373    0.37691    0.00000    0.00000
   11.38000      0.373    0.37923    0.00000    0.00000
   11.45500      0.375    0.38176    0.00000    0.00000
   11.53500      0.376    0.38445    0.00000    0.00000
   11.61000      0.377    0.38701    0.00000    0.00000
   11.69000      0.380    0.38962    0.00000    0.00000
   11.75500      0.383    0.39174    0.00000    0.00000
   11.86500      0.387    0.39545    0.00000    0.00000
   11.98000      0.392    0.39936    0.00000    0.00000
   12.09000      0.396    0.40294    0.00000    0.00000
   12.20500      0.400    0.40673    0.00000    0.00000
   12.32000      0.403    0.41068    0.00000    0.00000
   12.43500      0.404    0.41443    0.00000    0.00000
   12.54000      0.406    0.41801    0.00000    0.00000
   12.66000      0.408    0.42196    0.00000    0.00000
   12.78000      0.410    0.42600    0.00000    0.00000
   12.89500      0.415    0.42978    0.00000    0.00000
   12.99500      0.419    0.43317    0.00000    0.00000
   13.11500      0.424    0.43716    0.00000    0.00000
   13.23000      0.430    0.44107    0.00000    0.00000
   13.34500      0.434    0.44473    0.00000    0.00000
   13.45500      0.436    0.44844    0.00000    0.00000
   13.57000      0.438    0.45231    0.00000    0.00000
   13.69000      0.440    0.45630    0.00000    0.00000
   13.79000      0.441    0.45976    0.00000    0.00000
   13.91000      0.443    0.46372    0.00000    0.00000
   14.03000      0.448    0.46759    0.00000    0.00000
   14.14000      0.452    0.47121    0.00000    0.00000
   14.24500      0.457    0.47480    0.00000    0.00000
   14.36000      0.462    0.47875    0.00000    0.00000
   14.48000      0.467    0.48270    0.00000    0.00000
   14.58500      0.470    0.48608    0.00000    0.00000
   14.70000      0.472    0.48999    0.00000    0.00000
   14.82000      0.474    0.49394    0.00000    0.00000
   14.93000      0.476    0.49757    0.00000    0.00000
   15.04000      0.477    0.50135    0.00000    0.00000
   15.15500      0.479    0.50522    0.00000    0.00000
   15.27500      0.483    0.50905    0.00000    0.00000
   15.38000      0.487    0.51252    0.00000    0.00000
   15.49000      0.491    0.51634    0.00000    0.00000
   15.61000      0.496    0.52038    0.00000    0.00000
   15.73000      0.500    0.52425    0.00000    0.00000
   15.83000      0.502    0.52771    0.00000    0.00000
   15.95000      0.504    0.53166    0.00000    0.00000
   16.06000      0.506    0.53524    0.00000    0.00000
   16.17000      0.508    0.53895    0.00000    0.00000
   16.28500      0.510    0.54274    0.00000    0.00000
   16.39500      0.513    0.54637    0.00000    0.00000
   16.50500      0.518    0.55011    0.00000    0.00000
   16.61500      0.522    0.55378    0.00000    0.00000
   16.73000      0.526    0.55757    0.00000    0.00000
   16.84000      0.530    0.56123    0.00000    0.00000
