   Time:sec   Load:kgf  Stroke:mm     Spare1     Spare2
   ====================================================
    0.00500      0.033    0.00114    0.00000    0.00000
    0.01000      0.100    0.00420    0.00000    0.00000
    0.01500      0.136    0.00603    0.00000    0.00000
    0.02000      0.182    0.00713    0.00000    0.00000
    0.03000      0.335    0.01026    0.00000    0.00000
    0.04000      0.524    0.01356    0.00000    0.00000
    0.05000      0.787    0.01654    0.00000    0.00000
    0.05500      0.848    0.01919    0.00000    0.00000
    0.06000      0.907    0.02016    0.00000    0.00000
    0.06500      1.028    0.02216    0.00000    0.00000
    0.07500      1.293    0.02517    0.00000    0.00000
    0.08000      1.362    0.02717    0.00000    0.00000
    0.09000      1.651    0.03010    0.00000    0.00000
    0.09500      1.724    0.03202    0.00000    0.00000
    0.10500      1.932    0.03495    0.00000    0.00000
    0.11000      2.106    0.03691    0.00000    0.00000
    0.12000      2.385    0.03988    0.00000    0.00000
    0.13000      2.693    0.04326    0.00000    0.00000
    0.14000      3.047    0.04627    0.00000    0.00000
    0.14500      3.119    0.04884    0.00000    0.00000
    0.15000      3.255    0.04982    0.00000    0.00000
    0.16000      3.409    0.05308    0.00000    0.00000
    0.17000      3.648    0.05674    0.00000    0.00000
    0.17500      3.695    0.05874    0.00000    0.00000
    0.18000      3.782    0.05980    0.00000    0.00000
    0.19000      3.882    0.06314    0.00000    0.00000
    0.19500      3.954    0.06513    0.00000    0.00000
    0.20000      4.036    0.06615    0.00000    0.00000
    0.20500      4.066    0.06876    0.00000    0.00000
    0.21000      4.095    0.06970    0.00000    0.00000
    0.22000      4.187    0.07300    0.00000    0.00000
    0.22500      4.233    0.07499    0.00000    0.00000
    0.23000      4.285    0.07605    0.00000    0.00000
    0.23500      4.304    0.07874    0.00000    0.00000
    0.24000      4.322    0.07976    0.00000    0.00000
    0.25000      4.393    0.08314    0.00000    0.00000
    0.25500      4.406    0.08509    0.00000    0.00000
    0.26000      4.419    0.08603    0.00000    0.00000
    0.26500      4.440    0.08794    0.00000    0.00000
    0.27500      4.478    0.09096    0.00000    0.00000
    0.28500      4.493    0.09454    0.00000    0.00000
    0.29000      4.507    0.09658    0.00000    0.00000
    0.29500      4.520    0.09866    0.00000    0.00000
    0.30000      4.533    0.09964    0.00000    0.00000
    0.31000      4.552    0.10302    0.00000    0.00000
    0.31500      4.557    0.10497    0.00000    0.00000
    0.32000      4.562    0.10599    0.00000    0.00000
    0.32500      4.572    0.10795    0.00000    0.00000
    0.33500      4.592    0.11092    0.00000    0.00000
    0.34500      4.600    0.11467    0.00000    0.00000
    0.35000      4.608    0.11670    0.00000    0.00000
    0.35500      4.616    0.11870    0.00000    0.00000
    0.36000      4.623    0.11972    0.00000    0.00000
    0.37000      4.633    0.12302    0.00000    0.00000
    0.38000      4.639    0.12587    0.00000    0.00000
    0.38500      4.644    0.12786    0.00000    0.00000
    0.39000      4.649    0.12986    0.00000    0.00000
    0.39500      4.655    0.13088    0.00000    0.00000
    0.40500      4.662    0.13463    0.00000    0.00000
    0.41000      4.664    0.13691    0.00000    0.00000
