   Time:sec   Load:kgf  Stroke:mm     Spare1     Spare2
   ====================================================
    0.00500      0.019    0.00098    0.00000    0.00000
    0.01500      0.081    0.00525    0.00000    0.00000
    0.02000      0.106    0.00684    0.00000    0.00000
    0.02500      0.197    0.00786    0.00000    0.00000
    0.03000      0.233    0.01018    0.00000    0.00000
    0.03500      0.312    0.01124    0.00000    0.00000
    0.04000      0.353    0.01328    0.00000    0.00000
    0.04500      0.448    0.01426    0.00000    0.00000
    0.05500      0.524    0.01792    0.00000    0.00000
    0.06000      0.600    0.01988    0.00000    0.00000
    0.06500      0.674    0.02183    0.00000    0.00000
    0.07000      0.748    0.02281    0.00000    0.00000
    0.08000      0.841    0.02615    0.00000    0.00000
    0.09000      1.007    0.02917    0.00000    0.00000
    0.09500      1.045    0.03189    0.00000    0.00000
    0.10000      1.127    0.03287    0.00000    0.00000
    0.10500      1.172    0.03487    0.00000    0.00000
    0.11000      1.270    0.03686    0.00000    0.00000
    0.11500      1.375    0.03788    0.00000    0.00000
    0.12000      1.432    0.03984    0.00000    0.00000
    0.13000      1.611    0.04273    0.00000    0.00000
    0.13500      1.812    0.04473    0.00000    0.00000
    0.14500      2.008    0.04774    0.00000    0.00000
    0.15000      2.319    0.04978    0.00000    0.00000
    0.16000      2.532    0.05283    0.00000    0.00000
    0.16500      2.843    0.05487    0.00000    0.00000
    0.17500      3.046    0.05780    0.00000    0.00000
    0.18000      3.359    0.05976    0.00000    0.00000
    0.19000      3.588    0.06277    0.00000    0.00000
    0.19500      3.827    0.06477    0.00000    0.00000
    0.20500      4.168    0.06786    0.00000    0.00000
    0.21000      4.392    0.06990    0.00000    0.00000
    0.22000      4.793    0.07287    0.00000    0.00000
    0.22500      5.060    0.07487    0.00000    0.00000
    0.23500      5.461    0.07776    0.00000    0.00000
    0.24000      5.712    0.07972    0.00000    0.00000
    0.25000      6.245    0.08273    0.00000    0.00000
    0.25500      6.359    0.08509    0.00000    0.00000
    0.26000      6.472    0.08611    0.00000    0.00000
    0.26500      6.693    0.08811    0.00000    0.00000
    0.27500      7.123    0.09112    0.00000    0.00000
    0.28500      7.179    0.09446    0.00000    0.00000
    0.29000      7.179    0.09638    0.00000    0.00000
    0.29500      7.315    0.09805    0.00000    0.00000
    0.30000      7.425    0.09972    0.00000    0.00000
    0.31000      7.794    0.10273    0.00000    0.00000
    0.31500      7.891    0.10473    0.00000    0.00000
    0.32000      7.986    0.10579    0.00000    0.00000
    0.32500      8.166    0.10782    0.00000    0.00000
    0.33500      8.532    0.11084    0.00000    0.00000
    0.34500      8.680    0.11442    0.00000    0.00000
    0.35000      8.822    0.11638    0.00000    0.00000
    0.35500      8.957    0.11837    0.00000    0.00000
