扭矩,料温,压力,转速,时间,温度1,温度2,温度3,温度4,温度5,温度6,温度7,温度8,顶栓,能量
1.7,189.0,6.19,1.6,0,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.7,189.0,6.19,8.6,1,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.6,189.1,6.19,20.2,2,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,189.1,6.19,32.2,3,190.0,190.2,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,189.1,6.19,44.2,4,190.0,190.2,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.6,189.1,6.19,54.6,5,190.0,190.2,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,189.1,6.19,59.4,6,190.0,190.2,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.5,189.0,6.19,59.8,7,190.0,190.2,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.5,188.8,6.19,59.8,8,190.0,190.2,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.4,188.3,6.19,59.8,9,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.4,187.5,6.19,59.8,10,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,186.6,6.19,59.8,11,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,185.8,6.19,59.8,12,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.2,185.2,6.19,59.8,13,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.2,184.5,6.19,59.8,14,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.2,183.9,6.19,59.6,15,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.2,183.4,6.19,59.8,16,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.1,183.0,6.19,59.8,17,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.1,182.6,6.19,59.8,18,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.0,182.3,6.19,59.8,19,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.0,181.9,6.19,60.0,20,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.0,181.6,6.19,59.8,21,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.1,181.3,6.19,59.8,22,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.1,181.1,6.19,59.8,23,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.1,180.9,6.19,59.8,24,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.0,180.6,6.19,59.6,25,190.0,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.0,180.4,6.19,59.8,26,190.0,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.03
0.9,180.2,6.19,59.8,27,190.0,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.03
0.9,180.0,6.19,59.8,28,190.0,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.03
0.9,179.9,6.19,59.8,29,190.0,189.9,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.0,179.8,6.19,59.8,30,190.0,189.8,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.1,179.6,6.19,59.8,31,190.0,189.8,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.1,179.5,6.19,59.8,32,190.0,189.8,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.1,179.3,6.19,59.8,33,189.9,189.8,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.2,179.2,6.19,59.8,34,189.9,189.8,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.0,179.1,6.19,59.8,35,189.9,189.8,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.2,179.0,6.19,59.8,36,189.8,189.8,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.04
2.5,178.7,6.19,59.6,37,189.8,189.8,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.04
5.5,178.2,6.19,59.6,38,189.8,189.8,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.05
9.2,177.1,6.19,59.4,39,189.8,189.8,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.06
15.2,175.2,6.19,59.6,40,189.7,189.9,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.07
22.8,173.1,6.19,59.6,41,189.7,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.09
30.2,170.6,6.19,59.6,42,189.7,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.12
34.4,167.9,6.19,59.6,43,189.7,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.16
37.7,165.5,6.19,59.8,44,189.6,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.20
37.3,164.0,6.19,59.8,45,189.5,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.23
34.9,163.3,6.19,59.6,46,189.5,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.27
31.8,163.0,6.19,59.8,47,189.5,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.30
29.7,162.9,6.19,59.8,48,189.5,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.33
26.7,162.9,6.19,59.8,49,189.5,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.36
25.4,162.8,6.19,59.6,50,189.5,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.38
24.3,162.8,6.19,59.8,51,189.4,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.41
22.7,163.1,6.19,59.8,52,189.3,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.43
21.8,163.5,6.19,59.6,53,189.3,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.45
21.7,164.0,6.19,59.6,54,189.2,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.47
21.1,164.6,6.19,59.8,55,189.1,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.49
20.6,165.1,6.19,59.8,56,189.1,190.0,189.7,500.0,500.0,0.0,0.0,0.0,0.3,0.51
20.2,165.5,6.19,59.8,57,189.1,190.0,189.7,500.0,500.0,0.0,0.0,0.0,0.3,0.53
19.9,166.0,6.19,59.8,58,189.0,190.0,189.7,500.0,500.0,0.0,0.0,0.0,0.3,0.55
19.6,166.5,6.19,59.8,59,188.9,190.0,189.7,500.0,500.0,0.0,0.0,0.0,0.3,0.57
