扭矩,料温,压力,转速,时间,温度1,温度2,温度3,温度4,温度5,温度6,温度7,温度8,顶栓,能量
1.6,195.6,6.19,0.2,0,199.7,200.5,199.9,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,195.7,6.19,4.0,1,199.8,200.5,199.9,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,195.8,6.19,13.2,2,199.8,200.5,199.9,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.4,195.8,6.19,23.2,3,199.8,200.5,199.9,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.4,195.8,6.19,33.2,4,199.8,200.5,199.8,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.4,195.4,6.19,43.0,5,199.8,200.5,199.8,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.4,194.8,6.19,49.2,6,199.8,200.4,199.8,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.4,193.9,6.19,50.0,7,199.8,200.2,199.8,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.4,193.2,6.19,49.8,8,199.9,200.2,199.7,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.4,192.7,6.19,49.8,9,199.9,200.2,199.7,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,192.1,6.19,49.8,10,199.9,200.2,199.7,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,191.7,6.19,49.8,11,199.9,200.0,199.7,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.2,191.3,6.19,49.8,12,199.9,200.0,199.7,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.1,191.0,6.19,49.8,13,199.9,200.0,199.7,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.1,190.8,6.19,49.8,14,199.9,200.0,199.6,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.0,190.4,6.19,49.8,15,199.9,200.0,199.6,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.9,189.8,6.19,49.8,16,199.9,200.0,199.6,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.9,188.9,6.19,49.8,17,200.0,200.0,199.6,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.9,187.8,6.19,50.0,18,200.0,200.0,199.6,500.0,500.0,0.0,0.0,0.0,0.3,0.02
0.9,186.8,6.19,49.8,19,200.0,200.0,199.6,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.0,186.0,6.19,49.8,20,200.0,200.0,199.6,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.1,185.6,6.19,49.8,21,200.0,200.0,199.5,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.1,185.2,6.19,49.8,22,200.0,199.9,199.5,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.2,184.8,6.19,49.8,23,200.0,199.9,199.5,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.2,184.4,6.19,50.0,24,200.0,199.9,199.5,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.2,184.2,6.19,50.0,25,200.0,199.8,199.5,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.2,184.1,6.19,49.8,26,200.0,199.8,199.5,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.2,184.0,6.19,49.8,27,200.0,199.8,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.2,184.0,6.19,49.8,28,199.9,199.8,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.2,184.0,6.19,49.8,29,199.9,199.8,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.2,184.1,6.19,49.8,30,199.9,199.8,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.2,184.1,6.19,49.8,31,199.9,199.8,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.2,184.2,6.19,49.8,32,199.9,199.8,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.2,184.3,6.19,49.8,33,199.9,199.8,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.2,184.4,6.19,49.8,34,199.9,199.9,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.1,184.5,6.19,49.8,35,199.9,200.0,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.0,184.6,6.19,50.0,36,199.9,200.0,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.03
0.9,184.7,6.19,50.0,37,199.8,200.0,199.3,500.0,500.0,0.0,0.0,0.0,0.3,0.03
0.9,184.8,6.19,50.0,38,199.8,200.0,199.3,500.0,500.0,0.0,0.0,0.0,0.3,0.03
0.9,184.9,6.19,50.0,39,199.8,200.0,199.3,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.0,185.1,6.19,50.0,40,199.8,200.0,199.3,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.0,185.2,6.19,49.8,41,199.8,200.0,199.3,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.0,185.4,6.19,49.8,42,199.8,200.0,199.3,500.0,500.0,0.0,0.0,0.0,0.3,0.04
1.0,185.6,6.19,49.6,43,199.8,200.0,199.3,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.9,185.7,6.19,49.6,44,199.8,200.0,199.3,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.8,185.9,6.19,49.4,45,199.8,200.0,199.3,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.7,186.0,6.19,49.6,46,199.8,200.0,199.3,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.6,186.1,6.19,49.6,47,199.8,200.0,199.3,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.5,186.2,6.19,49.8,48,199.8,200.0,199.3,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.5,186.3,6.19,49.8,49,199.7,200.0,199.3,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.5,186.3,6.19,50.0,50,199.7,200.0,199.3,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.4,186.3,6.19,49.8,51,199.7,200.0,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.4,186.4,6.19,49.8,52,199.7,200.0,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.3,186.4,6.19,49.8,53,199.7,200.0,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.2,186.3,6.19,49.8,54,199.7,200.0,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.2,186.2,6.19,49.8,55,199.7,200.0,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.2,186.1,6.19,50.0,56,199.7,200.0,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.3,186.0,6.19,50.0,57,199.7,200.0,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.3,186.0,6.19,50.0,58,199.7,200.0,199.4,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.5,186.1,6.19,50.0,59,199.7,200.0,199.5,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.7,186.2,6.19,49.8,60,199.7,200.0,199.5,500.0,500.0,0.0,0.0,0.0,0.3,0.04
0.9,186.3,6.19,49.8,61,199.7,200.0,199.5,500.0,500.0,0.0,0.0,0.0,0.3,0.05
1.1,186.4,6.19,49.8,62,199.7,200.0,199.5,500.0,500.0,0.0,0.0,0.0,0.3,0.05
1.5,186.5,6.19,49.8,63,199.7,200.0,199.5,500.0,500.0,0.0,0.0,0.0,0.3,0.05
2.5,186.6,6.19,49.6,64,199.7,200.0,199.6,500.0,500.0,0.0,0.0,0.0,0.3,0.05
4.4,186.6,6.19,49.8,65,199.7,200.0,199.6,500.0,500.0,0.0,0.0,0.0,0.3,0.05
7.8,186.3,6.19,49.8,66,199.7,200.0,199.6,500.0,500.0,0.0,0.0,0.0,0.3,0.06
11.2,185.2,6.19,49.6,67,199.7,200.0,199.6,500.0,500.0,0.0,0.0,0.0,0.3,0.07
15.3,182.9,6.19,49.6,68,199.8,200.0,199.6,500.0,500.0,0.0,0.0,0.0,0.3,0.08
18.7,179.5,6.18,49.8,69,199.8,199.9,199.6,500.0,500.0,0.0,0.0,0.0,0.3,0.10
20.6,176.4,6.18,49.8,70,199.8,199.8,199.7,500.0,500.0,0.0,0.0,0.0,0.3,0.11
21.7,174.4,6.18,49.8,71,199.8,199.8,199.7,500.0,500.0,0.0,0.0,0.0,0.3,0.13
22.3,173.6,6.18,50.0,72,199.8,199.7,199.7,500.0,500.0,0.0,0.0,0.0,0.3,0.15
22.2,173.4,6.18,50.0,73,199.8,199.6,199.8,500.0,500.0,0.0,0.0,0.0,0.3,0.17
21.7,173.7,6.19,50.0,74,199.8,199.6,199.8,500.0,500.0,0.0,0.0,0.0,0.3,0.19
21.1,174.1,6.19,50.0,75,199.8,199.6,199.8,500.0,500.0,0.0,0.0,0.0,0.3,0.21
20.0,174.8,6.19,50.0,76,199.9,199.6,199.8,500.0,500.0,0.0,0.0,0.0,0.3,0.22
19.4,175.3,6.19,49.8,77,199.9,199.6,199.8,500.0,500.0,0.0,0.0,0.0,0.3,0.24
18.9,175.9,6.19,49.8,78,199.9,199.6,199.9,500.0,500.0,0.0,0.0,0.0,0.3,0.25
18.7,176.3,6.19,49.8,79,199.9,199.6,199.9,500.0,500.0,0.0,0.0,0.0,0.3,0.27
18.8,177.0,6.19,49.8,80,199.9,199.7,199.9,500.0,500.0,0.0,0.0,0.0,0.3,0.28
18.7,177.7,6.19,49.6,81,199.9,199.8,199.9,500.0,500.0,0.0,0.0,0.0,0.3,0.30
18.6,178.4,6.19,49.8,82,199.9,199.8,199.9,500.0,500.0,0.0,0.0,0.0,0.3,0.32
18.5,179.0,6.19,49.8,83,199.9,199.8,199.9,500.0,500.0,0.0,0.0,0.0,0.3,0.33
18.5,179.5,6.19,49.8,84,199.9,199.9,199.9,500.0,500.0,0.0,0.0,0.0,0.3,0.35
18.4,180.1,6.19,49.8,85,199.9,200.0,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.36
18.3,180.6,6.19,50.0,86,199.9,200.0,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.38
18.2,181.1,6.19,49.8,87,199.9,200.0,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.39
17.7,181.5,6.19,49.8,88,199.9,200.0,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.41
17.4,181.9,6.19,49.8,89,199.9,200.0,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.42
17.2,182.3,6.19,49.8,90,199.9,200.0,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.44
16.8,182.8,6.19,49.6,91,200.0,200.0,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.45
16.7,183.3,6.19,49.8,92,200.0,200.0,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.46
16.5,183.7,6.19,49.8,93,200.0,200.0,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.48
16.2,184.2,6.19,49.8,94,200.0,200.0,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.49
16.1,184.6,6.19,49.8,95,200.0,200.0,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.50
16.0,185.1,6.19,49.8,96,200.0,200.0,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.52
15.8,185.5,6.19,49.8,97,200.0,200.2,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.53
15.8,186.0,6.19,49.8,98,200.0,200.2,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.54
15.6,186.4,6.19,49.8,99,200.0,200.2,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.56
15.3,186.8,6.19,49.8,100,200.0,200.2,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.57
15.1,187.2,6.19,49.8,101,200.0,200.3,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.58
14.9,187.7,6.19,49.8,102,200.0,200.3,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.59
14.7,188.0,6.19,49.8,103,200.0,200.3,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.61
14.5,188.3,6.19,49.8,104,200.0,200.3,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.62
14.4,188.6,6.19,49.8,105,200.0,200.3,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.63
14.4,188.8,6.19,49.8,106,200.0,200.3,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.64
14.3,189.2,6.19,49.8,107,200.0,200.2,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.65
14.0,189.5,6.19,49.8,108,200.0,200.1,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.67
13.9,189.9,6.19,49.8,109,200.0,200.1,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.68
13.9,190.2,6.19,49.6,110,200.0,200.1,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.69
13.8,190.6,6.19,49.8,111,200.0,200.0,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.70
13.7,190.8,6.19,49.8,112,200.0,200.0,200.0,500.0,500.0,0.0,0.0,0.0,0.3,0.71
