扭矩,料温,压力,转速,时间,温度1,温度2,温度3,温度4,温度5,温度6,温度7,温度8,顶栓,能量
1.9,186.3,6.26,0.0,0,190.0,190.0,189.5,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.8,186.4,6.26,3.6,1,190.0,190.0,189.5,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.7,186.4,6.26,11.2,2,190.0,190.0,189.6,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.7,186.5,6.26,19.4,3,190.0,190.0,189.6,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,186.4,6.26,27.6,4,190.0,190.0,189.6,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.4,186.1,6.26,35.4,5,190.0,190.0,189.6,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.3,185.6,6.26,39.8,6,190.0,190.0,189.6,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.2,184.9,6.26,40.2,7,190.0,190.0,189.6,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.1,184.4,6.26,40.0,8,190.0,190.0,189.7,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.0,183.7,6.26,39.8,9,190.0,190.0,189.7,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.9,183.2,6.26,40.0,10,190.0,190.0,189.7,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.8,182.6,6.26,39.8,11,190.0,190.0,189.7,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.8,182.1,6.26,39.8,12,190.0,190.0,189.7,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.7,181.7,6.26,39.8,13,190.0,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.7,181.2,6.26,39.8,14,190.0,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.6,180.9,6.26,39.8,15,190.0,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.5,180.7,6.26,40.0,16,190.0,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.6,180.4,6.26,40.0,17,190.0,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.8,179.8,6.26,40.0,18,190.0,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.9,178.9,6.26,40.0,19,190.0,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.1,178.0,6.26,40.0,20,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,177.3,6.26,39.8,21,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.3,176.8,6.26,40.0,22,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.4,176.3,6.26,39.8,23,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.4,175.8,6.26,39.8,24,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.4,175.4,6.26,39.8,25,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.4,175.1,6.26,40.0,26,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.5,174.8,6.26,39.8,27,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.4,174.7,6.26,40.0,28,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.4,174.5,6.26,40.0,29,190.0,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.4,174.4,6.26,40.0,30,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.4,174.3,6.26,40.0,31,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.4,174.2,6.26,39.8,32,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.4,174.2,6.26,39.8,33,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.4,174.1,6.26,39.8,34,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.02
1.5,174.1,6.27,39.8,35,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
1.4,174.2,6.26,39.8,36,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
2.6,174.2,6.26,39.8,37,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
6.6,174.0,6.26,39.8,38,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.03
17.2,172.9,6.26,39.6,39,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.04
25.0,170.9,6.26,39.6,40,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.06
35.5,168.6,6.26,39.6,41,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.08
42.1,166.4,6.27,39.8,42,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.11
44.9,164.9,6.27,39.8,43,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.14
40.5,164.0,6.27,39.8,44,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.17
39.3,163.6,6.27,39.8,45,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.19
32.7,163.6,6.27,39.8,46,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.22
29.6,163.6,6.27,39.8,47,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.24
27.7,163.8,6.27,39.8,48,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.25
25.2,164.0,6.27,40.0,49,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.27
22.7,164.3,6.27,40.0,50,189.9,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.29
22.7,164.6,6.27,39.8,51,189.8,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.30
21.1,164.9,6.27,39.8,52,189.8,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.31
20.2,165.3,6.27,39.8,53,189.8,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.33
19.3,165.8,6.27,39.8,54,189.8,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.34
18.1,166.2,6.27,39.8,55,189.8,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.35
17.1,166.5,6.27,40.0,56,189.7,190.0,189.9,500.0,500.0,0.0,0.0,0.0,0.3,0.36
16.6,166.9,6.27,39.8,57,189.6,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.38
15.2,167.3,6.27,39.8,58,189.6,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.39
14.8,167.7,6.27,39.8,59,189.6,190.0,189.8,500.0,500.0,0.0,0.0,0.0,0.3,0.40
14.2,167.9,6.27,39.8,60,189.6,190.0,189.7,500.0,500.0,0.0,0.0,0.0,0.3,0.40
13.5,168.1,6.27,39.8,61,189.6,190.0,189.6,500.0,500.0,0.0,0.0,0.0,0.3,0.41
12.8,168.4,6.27,40.0,62,189.5,190.0,189.6,500.0,500.0,0.0,0.0,0.0,0.3,0.42
11.8,168.8,6.27,40.0,63,189.5,190.0,189.6,500.0,500.0,0.0,0.0,0.0,0.3,0.43
11.0,169.2,6.27,39.8,64,189.5,190.0,189.6,500.0,500.0,0.0,0.0,0.0,0.3,0.44
10.5,169.7,6.27,40.0,65,189.5,190.0,189.6,500.0,500.0,0.0,0.0,0.0,0.3,0.44
10.0,170.1,6.27,40.0,66,189.5,190.0,189.6,500.0,500.0,0.0,0.0,0.0,0.3,0.45
9.9,170.6,6.27,40.0,67,189.5,190.0,189.5,500.0,500.0,0.0,0.0,0.0,0.3,0.46
9.7,171.0,6.27,40.0,68,189.4,190.0,189.4,500.0,500.0,0.0,0.0,0.0,0.3,0.46
9.5,171.5,6.27,40.2,69,189.4,190.0,189.4,500.0,500.0,0.0,0.0,0.0,0.3,0.47
9.4,172.0,6.27,40.0,70,189.4,190.0,189.4,500.0,500.0,0.0,0.0,0.0,0.3,0.48
9.3,172.4,6.27,40.0,71,189.4,190.0,189.4,500.0,500.0,0.0,0.0,0.0,0.3,0.48
8.8,172.9,6.27,39.8,72,189.4,190.0,189.4,500.0,500.0,0.0,0.0,0.0,0.3,0.49
8.9,173.3,6.27,39.8,73,189.4,190.0,189.4,500.0,500.0,0.0,0.0,0.0,0.3,0.49
9.0,173.5,6.26,39.8,74,189.4,190.0,189.4,500.0,500.0,0.0,0.0,0.0,0.3,0.50
8.6,173.8,6.26,39.8,75,189.4,190.0,189.3,500.0,500.0,0.0,0.0,0.0,0.3,0.51
8.7,174.0,6.26,39.8,76,189.4,190.0,189.3,500.0,500.0,0.0,0.0,0.0,0.3,0.51
8.9,174.3,6.26,40.0,77,189.5,190.0,189.3,500.0,500.0,0.0,0.0,0.0,0.3,0.52
8.7,174.6,6.26,40.0,78,189.5,190.0,189.3,500.0,500.0,0.0,0.0,0.0,0.3,0.52
8.6,174.9,6.26,39.8,79,189.5,190.0,189.3,500.0,500.0,0.0,0.0,0.0,0.3,0.53
8.7,175.3,6.27,40.0,80,189.5,190.0,189.2,500.0,500.0,0.0,0.0,0.0,0.3,0.54
8.4,175.6,6.27,40.0,81,189.5,190.0,189.2,500.0,500.0,0.0,0.0,0.0,0.3,0.54
8.2,176.0,6.27,40.0,82,189.5,190.0,189.2,500.0,500.0,0.0,0.0,0.0,0.3,0.55
8.2,176.2,6.27,40.0,83,189.6,190.0,189.2,500.0,500.0,0.0,0.0,0.0,0.3,0.55
