扭矩,料温,压力,转速,时间,温度1,温度2,温度3,温度4,温度5,温度6,温度7,温度8,顶栓,能量
1.8,190.7,6.19,0.0,0,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.8,190.7,6.19,2.6,1,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.7,190.7,6.19,10.8,2,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.6,190.6,6.19,20.6,3,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.6,190.5,6.19,30.6,4,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.5,190.1,6.19,40.6,5,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.4,189.5,6.19,48.0,6,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.3,188.8,6.19,49.8,7,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.00
1.2,188.1,6.19,50.0,8,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.1,187.7,6.19,49.8,9,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
1.0,187.3,6.19,49.8,10,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.9,186.9,6.19,49.8,11,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.8,186.2,6.19,49.8,12,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.8,185.6,6.19,49.8,13,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.7,185.0,6.19,50.0,14,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.6,184.6,6.19,49.8,15,190.0,190.1,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
0.5,184.0,6.19,49.8,16,190.0,190.0,190.0,500.0,500.0,0.0,0.0,0.0,0.3,0.01
